iter	RMSE
0	1.061801596
1	1.050897917
2	1.038226335
3	1.025803022
4	1.011806737
5	1.006888137
6	0.9964217135
7	0.9872294983
8	0.9749183513
9	0.9636460913
10	0.9554011853
11	0.9443976592
12	0.9337578444
13	0.9224212449
14	0.912830689
15	0.9024187605
16	0.8880761416
17	0.8782321624
18	0.8691029056
19	0.8650561474
20	0.8536215471
21	0.845667261
22	0.8363455222
23	0.8283487985
24	0.8210431577
25	0.808297542
26	0.7982544654
27	0.7891679935
28	0.78081268
29	0.7720783542
30	0.7619146999
31	0.7559886191
32	0.7472093447
33	0.7431960539
34	0.734641731
35	0.7250434898
36	0.7148300245
37	0.7083913483
38	0.6993922499
39	0.6916860021
40	0.6861926981
41	0.6780585699
42	0.6695801651
43	0.6615786168
44	0.6544008327
45	0.6492423719
46	0.6440062684
47	0.6358556873
48	0.6288643273
49	0.6238467624
50	0.6183631854
